TRACK_ID,POSITION_X,POSITION_Y,POSITION_T
529,79.098,763.621,18
529,79.333,763.367,19
529,79.325,763.005,20
529,79.257,763.383,21
529,77.719,763.268,22
529,77.353,763.777,23
529,78.549,762.789,24
529,78.047,761.98,25
529,76.834,762.305,26
529,78.199,761.724,27
529,71.794,762.153,28
529,75.956,761.95,30
529,77.423,761.565,31
529,77.615,760.714,32
529,77.043,760.624,33
529,78.208,760.6,34
529,77.865,761.639,35
529,75.831,759.772,36
529,82.698,758.587,37
529,80.968,760.902,38
529,81.231,760.526,39
529,81.364,760.931,40
529,81.692,760.641,41
529,82.391,760.552,42
529,82.926,760.301,43
529,83.487,760.494,44
529,83.479,760.13,45
529,83.011,760.288,46
529,84.047,759.951,47
529,84.826,760.187,48
529,85.168,760.719,49
529,85.645,760.616,50
529,85.068,760.443,51
529,85.224,760.789,52
529,86.296,760.509,53
529,85.931,760.482,54
529,84.856,760.406,55
529,83.52,760.403,56
529,82.766,760.406,57
529,82.439,761.338,58
529,82.642,760.827,59
529,84.246,760.047,60
529,83.937,760.319,61
529,82.427,759.594,62
529,83.195,760.324,63
529,79.459,755.402,65
529,82.961,759.245,66
529,82.747,761.335,67
529,87.546,759.306,68
529,89.347,761.252,69
529,83.479,759.182,70
529,84.055,759.433,71
529,84.524,759.355,72
529,86.107,759.422,73
529,86.01,759.121,74
529,86.582,759.201,75
529,86.227,759.332,76
529,85.171,759.53,77
529,85.351,759.476,78
529,84.961,759.102,79
529,85.278,759.166,80
529,85.917,759.01,81
529,86.794,758.632,82
529,87.275,759.037,83
529,87.529,758.796,84
529,83.233,760.704,85
529,82.23,762.164,86
529,83.974,761.305,87
529,84.947,760.467,88
529,85.988,760.777,89
529,86.423,760.663,90
529,87.017,760.557,91
529,87.779,760.831,92
529,87.725,761.387,93
529,86.989,761.205,94
529,87.146,761.175,95
529,86.8,761.455,96
529,86.849,761.258,97
529,86.26,762.513,98
529,86.062,762.889,99
529,86.632,762.509,100
529,87.179,762.447,101
529,87.259,762.329,102
529,87.373,762.511,103
529,87.33,762.601,104
529,87.023,762.797,105
529,87.978,762.546,106
529,87.271,762.776,107
529,87.285,762.326,108
529,87.217,762.464,109
529,87.009,762.862,110
529,86.755,763.202,111
529,86.889,763.317,112
529,86.026,762.989,113
529,86.607,763.588,114
529,86.65,764.087,115
529,87.586,764.687,116
529,87.803,764.759,117
529,89.114,764.457,118
529,89.711,764.44,119
529,90.853,764.295,120
529,89.979,765.433,121
529,90.342,765.845,122
529,90.591,766.031,123
529,92.548,765.709,124
529,91.918,765.902,125
529,93.06,765.681,126
529,93.479,765.679,127
529,94.79,766.587,128
529,95.85,767.358,129
529,95.427,769.068,130
530,251.426,763.235,0
530,251.426,763.235,1
530,251.112,763.414,2
530,250.427,762.59,3
530,251.146,762.312,4
530,250.981,762.836,5
530,251.757,762.983,6
530,252.609,762.825,7
530,250.397,762.583,8
530,253.811,762.982,9
530,251.354,762.73,10
530,252.412,762.534,11
530,253.438,763.337,12
530,253.363,762.921,13
530,252.384,762.466,14
530,252.991,762.96,15
530,253.575,763.362,16
530,253.345,762.537,17
530,253.262,762.765,18
530,253.177,762.685,19
530,253.585,762.665,20
530,252.928,762.554,21
530,252.755,762.521,22
530,252.712,763.372,23
530,252.092,762.662,24
530,251.391,760.993,25
530,251.216,761.744,26
530,252.153,761.224,27
530,251.532,761.532,28
530,250.824,761.823,29
530,250.974,761.48,30
530,251.777,761.766,31
530,251.273,761.178,32
530,251.408,761.582,33
530,251.364,761.278,34
530,252.769,762.225,35
530,253.258,761.957,36
530,255.248,759.679,37
530,255.83,759.382,38
530,256.819,759.929,39
530,256.26,759.453,40
530,256.325,759.609,41
530,256.63,759.88,42
530,256.813,759.592,43
530,257.642,760.037,44
530,257.829,759.793,45
530,257.199,760.033,46
530,257.773,759.986,47
530,258.908,760.16,48
530,258.38,760.542,49
530,258.969,760.406,50
530,259.077,759.732,51
530,258.968,760.37,52
530,259.923,759.93,53
530,259.663,759.625,54
530,258.474,759.652,55
530,257.546,759.651,56
